,datetime,y,week,soldout,name,kcal,remarks,event,payday,weather,precipitation,temperature,train_flg,after_holiday,before_holiday,YM,y_rolling_mean5,y_pct_change_1,y_pct_change_2,y_pct_change_3,y_pct_change_4,y_pct_change_5
174,2014-08-08,129.0,5,0,チキンカレー,,4,1,1.0,2,-1.0,31.1,True,0,1,201408,75.8,1.0476190476190474,1.2241379310344827,1.3888888888888888,0.72,2.3947368421052633
196,2014-09-12,115.0,5,0,ポークカレー,,4,1,0.0,3,-1.0,27.3,True,0,1,201409,70.6,1.1698113207547172,1.1296296296296298,0.8253968253968254,0.6911764705882353,1.6744186046511627
181,2014-08-22,100.0,5,1,ロコモコ丼,,4,1,0.0,3,-1.0,33.1,True,0,1,201408,63.8,0.8518518518518519,0.7857142857142858,0.8867924528301887,0.7857142857142858,1.5
115,2014-05-16,126.0,5,0,ポークカレー,,4,2,0.0,1,-1.0,23.8,True,0,1,201405,78.2,1.1724137931034484,0.96875,0.8,0.726027397260274,1.1724137931034484
155,2014-07-11,124.0,5,0,ポークカレー,,4,1,0.0,3,-1.0,33.9,True,0,1,201407,72.8,1.5833333333333335,1.2962962962962963,1.2142857142857144,0.5121951219512195,0.9682539682539681
86,2014-04-02,99.0,3,0,肉じゃが,380.0,1,1,0.0,4,-1.0,18.2,True,0,0,201404,93.8,-0.20799999999999996,0.1785714285714286,-0.06603773584905659,0.8,0.9411764705882353
125,2014-05-30,119.0,5,0,チキンカレー,,4,1,0.0,4,-1.0,26.9,True,0,1,201405,82.6,0.859375,0.6081081081081081,0.5063291139240507,0.5454545454545454,0.8307692307692307
87,2014-04-03,100.0,4,1,酢豚,390.0,1,1,0.0,5,1.0,14.3,True,0,0,201404,102.8,0.010101010101010166,-0.19999999999999996,0.19047619047619047,-0.05660377358490565,0.8181818181818181
118,2014-05-21,104.0,3,1,チーズハンバーグ,430.0,1,1,0.0,5,6.0,17.4,True,0,0,201405,85.8,0.46478873239436624,0.48571428571428577,-0.17460317460317465,0.7931034482758621,0.625
85,2014-04-01,125.0,2,1,メンチカツ,377.0,1,1,0.0,4,-1.0,16.1,True,0,0,201404,84.2,0.48809523809523814,0.179245283018868,1.272727272727273,1.450980392156863,0.6233766233766234
32,2014-01-14,129.0,2,1,鶏の照り焼きマスタード,376.0,1,1,0.0,3,-1.0,5.8,True,1,0,201401,120.8,0.48275862068965525,0.0,0.0078125,-0.01526717557251911,0.6125
164,2014-07-25,83.0,5,0,ひやしたぬきうどん・炊き込みご飯,,4,1,0.0,3,-1.0,33.6,True,0,1,201407,61.8,0.33870967741935476,0.4821428571428572,0.5660377358490567,0.509090909090909,0.5660377358490567
55,2014-02-17,137.0,1,1,チンジャオロース,416.0,1,1,0.0,3,-1.0,11.6,True,1,0,201402,111.0,0.5930232558139534,0.6309523809523809,0.23423423423423428,0.0,0.5054945054945055
5,2013-11-25,135.0,1,1,鶏の唐揚,,1,1,0.0,2,-1.0,14.6,True,1,0,201311,120.8,0.03846153846153855,0.125,0.14406779661016955,0.3366336633663367,0.5
112,2014-05-13,70.0,2,1,白身魚唐揚げ野菜餡かけ,428.0,1,1,0.0,5,0.0,18.6,True,0,0,201405,69.6,-0.04109589041095896,0.2068965517241379,0.18644067796610164,-0.20454545454545459,0.4893617021276595
79,2014-03-24,102.0,1,0,マーボ豆腐,350.0,1,1,0.0,1,-1.0,17.4,True,1,0,201403,98.6,0.020000000000000018,0.41666666666666674,0.1333333333333333,-0.2093023255813954,0.4571428571428571
36,2014-01-20,126.0,1,1,ジューシーメンチカツ,375.0,1,1,0.0,3,-1.0,6.5,True,1,0,201401,116.2,0.48235294117647065,0.17757009345794383,-0.05970149253731338,-0.023255813953488413,0.4482758620689655
6,2013-11-26,145.0,2,0,豚のスタミナ炒め,,1,1,0.0,1,-1.0,17.9,True,0,0,201311,129.6,0.07407407407407418,0.11538461538461542,0.20833333333333326,0.22881355932203395,0.4356435643564356
103,2014-04-25,80.0,5,0,中華丼,,4,1,0.0,3,-1.0,20.8,True,0,1,201404,77.2,0.4285714285714286,0.26984126984126977,0.02564102564102555,-0.2660550458715596,0.4285714285714286
93,2014-04-11,128.0,5,1,チキンカレー,,4,1,0.0,1,-1.0,16.5,True,0,1,201404,101.2,0.47126436781609193,0.4545454545454546,0.33333333333333326,0.19626168224299056,0.4222222222222223
23,2013-12-19,151.0,4,0,ポーク味噌焼き,,1,1,0.0,5,0.5,6.8,True,0,0,201312,142.4,0.04137931034482767,0.04137931034482767,-0.05625000000000002,0.36036036036036045,0.3853211009174311
206,2014-09-30,40.0,2,0,鶏肉とカシューナッツ炒め,398.0,1,1,0.0,1,-1.0,28.1,True,0,0,201409,50.0,-0.2857142857142857,-0.11111111111111116,-0.19999999999999996,-0.3220338983050848,0.3793103448275863
138,2014-06-18,66.0,3,1,ビーフストロガノフ,426.0,5,1,0.0,5,0.0,21.9,True,0,0,201406,79.6,0.04761904761904767,-0.13157894736842102,-0.4545454545454546,-0.08333333333333337,0.32000000000000006
59,2014-02-21,113.0,5,0,酢豚orカレー,410.0,3,2,0.0,1,-1.0,8.5,True,0,1,201402,109.4,0.3294117647058823,0.0,0.14141414141414144,-0.17518248175182483,0.3139534883720929
135,2014-06-13,121.0,5,0,キーマカレー,,4,1,0.0,3,-1.0,29.5,True,0,1,201406,74.6,0.6805555555555556,1.42,1.1607142857142856,0.6351351351351351,0.30107526881720426
145,2014-06-27,74.0,5,0,牛丼,,4,1,0.0,5,0.0,25.4,True,0,1,201406,64.0,0.510204081632653,0.15625,0.21311475409836067,0.02777777777777768,0.29824561403508776
183,2014-08-26,68.0,2,0,キーマカレー,400.0,1,1,0.0,5,0.0,26.2,True,0,0,201408,66.6,0.23636363636363633,-0.31999999999999995,0.2592592592592593,0.2142857142857142,0.28301886792452824
89,2014-04-07,107.0,1,0,青梗菜牛肉炒め,387.0,1,1,0.0,1,-1.0,13.8,True,1,0,201404,104.2,0.18888888888888888,0.07000000000000006,0.08080808080808088,-0.14400000000000002,0.2738095238095237
151,2014-07-07,82.0,1,1,和風ハンバーグ,354.0,1,1,0.0,5,0.5,24.0,True,1,0,201407,60.4,0.3015873015873016,0.5471698113207548,0.6399999999999999,0.5185185185185186,0.2615384615384615
8,2013-11-28,151.0,4,0,ハンバーグ,,1,1,0.0,4,-1.0,17.7,True,0,0,201311,140.2,0.07857142857142851,0.04137931034482767,0.11851851851851847,0.16153846153846163,0.2583333333333333
78,2014-03-20,100.0,4,1,鶏の親子煮,372.0,1,3,0.0,5,0.5,7.5,True,0,1,201403,92.2,0.38888888888888884,0.11111111111111116,-0.22480620155038755,0.4285714285714286,0.25
205,2014-09-29,56.0,1,1,豚肉と玉子の炒め,404.0,1,1,0.0,1,-1.0,26.6,True,1,0,201409,47.8,0.24444444444444446,0.1200000000000001,-0.05084745762711862,0.9310344827586208,0.24444444444444446
105,2014-04-30,97.0,3,1,豚味噌メンチカツ,368.0,1,1,0.0,5,0.5,17.5,True,1,0,201404,70.0,0.7962962962962963,0.2124999999999999,0.7321428571428572,0.5396825396825398,0.2435897435897436
24,2013-12-20,134.0,5,1,鶏の唐揚げ甘酢あん,,1,1,0.0,2,-1.0,8.4,True,0,1,201312,147.0,-0.11258278145695366,-0.07586206896551728,-0.07586206896551728,-0.16249999999999998,0.2072072072072073
180,2014-08-21,54.0,4,0,チキン南蛮,405.0,1,3,0.0,4,-1.0,33.0,True,0,0,201408,51.8,-0.0357142857142857,0.018867924528301883,-0.0357142857142857,0.3500000000000001,0.19999999999999996
7,2013-11-27,140.0,3,1,ボローニャ風カツ,,1,1,0.0,3,-1.0,14.7,True,0,0,201311,134.0,-0.03448275862068961,0.03703703703703698,0.07692307692307687,0.16666666666666674,0.18644067796610164
124,2014-05-29,64.0,4,1,いか天ぷら,438.0,1,1,0.0,1,-1.0,26.0,True,0,0,201405,71.8,-0.1351351351351351,-0.189873417721519,-0.16883116883116878,-0.01538461538461533,0.18518518518518512
99,2014-04-21,109.0,1,0,牛肉筍煮,375.0,1,3,0.0,2,-1.0,16.4,True,1,0,201404,72.2,0.9464285714285714,0.9122807017543859,0.9122807017543859,0.3292682926829269,0.1847826086956521
187,2014-09-01,65.0,1,1,ビーフシチュー,380.0,1,1,0.0,2,-1.0,23.4,True,1,0,201409,58.0,0.6666666666666667,0.1607142857142858,0.048387096774193505,-0.044117647058823484,0.18181818181818188
165,2014-07-28,65.0,1,1,豚肉のマスタード焼き,432.0,1,1,0.0,3,-1.0,28.9,True,1,0,201407,63.8,-0.2168674698795181,0.048387096774193505,0.1607142857142858,0.2264150943396226,0.18181818181818188
163,2014-07-24,62.0,4,1,ジャンボチキンカツ,410.0,1,1,0.0,2,-1.0,32.5,True,0,0,201407,55.8,0.1071428571428572,0.16981132075471694,0.1272727272727272,0.16981132075471694,0.16981132075471694
14,2013-12-06,134.0,5,0,手作りロースカツ,,1,1,0.0,1,-1.0,14.9,True,0,1,201312,152.0,-0.216374269005848,-0.11258278145695366,-0.12418300653594772,-0.11258278145695366,0.15517241379310343
170,2014-08-04,75.0,1,1,ハンバーグ（デミきのこバター）,410.0,1,1,0.0,2,-1.0,32.7,True,1,0,201408,56.6,0.9736842105263157,0.25,0.2931034482758621,0.4423076923076923,0.15384615384615374
111,2014-05-12,73.0,1,0,きのこソースハンバーグ,400.0,1,1,0.0,4,-1.0,22.7,True,1,0,201405,65.0,0.2586206896551724,0.23728813559322037,-0.17045454545454541,0.553191489361702,0.140625
13,2013-12-05,171.0,4,0,鶏のカッシュナッツ炒め,,1,1,0.0,1,-1.0,13.8,True,0,0,201312,148.4,0.13245033112582782,0.11764705882352944,0.13245033112582782,0.47413793103448265,0.13245033112582782
137,2014-06-17,63.0,2,0,ポークソテー韓国ソース,427.0,1,1,0.0,4,-1.0,27.6,True,0,0,201406,76.4,-0.17105263157894735,-0.47933884297520657,-0.125,0.26,0.125
134,2014-06-12,72.0,4,1,タンドリーチキン,440.0,1,1,0.0,5,0.5,21.3,True,0,0,201406,69.0,0.43999999999999995,0.2857142857142858,-0.027027027027026973,-0.22580645161290325,0.125
10,2013-12-02,151.0,1,1,マーボ豆腐,,1,1,0.0,1,-1.0,13.8,True,1,0,201312,140.6,0.3017241379310345,0.0,0.07857142857142851,0.04137931034482767,0.11851851851851847
122,2014-05-27,79.0,2,0,牛肉すき焼き風,423.0,1,1,0.0,2,-1.0,23.7,True,0,0,201405,75.8,0.025974025974025983,0.21538461538461529,0.462962962962963,-0.24038461538461542,0.11267605633802824
184,2014-08-27,62.0,3,0,カレイの唐揚げ,410.0,1,1,0.0,2,0.0,21.0,True,0,0,201408,67.8,-0.08823529411764708,0.1272727272727272,-0.38,0.14814814814814814,0.1071428571428572
101,2014-04-23,63.0,3,0,手作りひれかつ,340.0,1,1,0.0,1,-1.0,19.4,True,0,0,201404,72.6,-0.1923076923076923,-0.42201834862385323,0.125,0.10526315789473695,0.10526315789473695
159,2014-07-17,53.0,4,1,豚すき焼き,418.0,1,2,0.0,3,-1.0,30.1,True,0,0,201407,69.2,0.0,0.03921568627450989,-0.18461538461538463,-0.5725806451612903,0.10416666666666674
46,2014-02-03,139.0,1,1,ハンバーグカレーソース,445.0,1,1,0.0,3,-1.0,15.9,True,1,0,201402,115.4,0.5108695652173914,0.32380952380952377,0.14876033057851235,0.15833333333333344,0.10317460317460325
191,2014-09-05,43.0,5,0,メンチカツ,380.0,1,1,0.0,3,-1.0,30.2,True,0,1,201409,56.6,-0.20370370370370372,-0.18867924528301883,-0.36764705882352944,-0.3384615384615385,0.10256410256410264
108,2014-05-07,88.0,3,1,肉じゃが,415.0,1,1,0.0,3,-1.0,18.9,True,1,0,201405,70.0,0.8723404255319149,0.375,-0.09278350515463918,0.6296296296296295,0.10000000000000009
121,2014-05-26,77.0,1,1,鶏のカッシュナッツ炒め,430.0,1,1,0.0,4,-1.0,23.9,True,1,0,201405,74.2,0.18461538461538463,0.4259259259259258,-0.2596153846153846,0.08450704225352124,0.10000000000000009
162,2014-07-23,56.0,3,1,八宝菜,355.0,1,1,0.0,4,-1.0,32.0,True,0,0,201407,54.0,0.05660377358490565,0.018181818181818077,0.05660377358490565,0.05660377358490565,0.0980392156862746
15,2013-12-09,165.0,1,1,ハンバーグデミソース,,1,1,0.0,2,-1.0,9.1,True,1,0,201312,154.8,0.23134328358208944,-0.03508771929824561,0.0927152317880795,0.07843137254901955,0.0927152317880795
109,2014-05-08,59.0,4,0,メンチカツ,405.0,1,1,0.0,4,-1.0,21.0,True,0,0,201405,71.0,-0.3295454545454546,0.25531914893617014,-0.078125,-0.3917525773195877,0.09259259259259256
40,2014-01-24,92.0,5,1,鶏のレモンペッパー焼orカレー,418.0,2,1,0.0,1,-1.0,10.1,True,0,1,201401,116.0,-0.14018691588785048,-0.2698412698412699,-0.28682170542635654,-0.2698412698412699,0.08235294117647052
149,2014-07-03,53.0,4,0,白身魚ムニエル,412.0,1,1,0.0,4,-1.0,27.0,True,0,0,201407,59.2,0.06000000000000005,-0.01851851851851849,-0.18461538461538463,-0.28378378378378377,0.08163265306122458
153,2014-07-09,54.0,3,1,チキンのコーンクリーム焼き,388.0,5,1,0.0,5,0.0,24.6,True,0,0,201407,61.6,-0.0357142857142857,-0.3414634146341463,-0.1428571428571429,0.018867924528301883,0.08000000000000007
12,2013-12-04,151.0,3,1,クリームチーズ入りメンチ,,1,1,0.0,3,-1.0,13.5,True,0,0,201312,144.4,-0.013071895424836555,0.0,0.3017241379310345,0.0,0.07857142857142851
133,2014-06-11,50.0,3,1,チャプチェ,413.0,1,1,0.0,5,2.5,22.3,True,0,0,201406,67.4,-0.1071428571428571,-0.32432432432432434,-0.4623655913978495,-0.21875,0.06382978723404253
83,2014-03-28,106.0,5,0,キーマカレー,,4,1,0.0,1,-1.0,18.5,True,0,1,201403,78.2,0.9272727272727272,1.0784313725490198,0.37662337662337664,0.03921568627450989,0.06000000000000005
77,2014-03-19,72.0,3,1,越冬キャベツのメンチカツ,392.0,1,1,0.0,2,-1.0,12.6,True,0,0,201403,88.2,-0.19999999999999996,-0.4418604651162791,0.02857142857142847,-0.09999999999999998,0.05882352941176472
63,2014-02-27,90.0,4,1,白身魚唐揚げ野菜あんかけ,436.0,1,1,0.0,5,0.0,8.5,True,0,0,201402,108.0,-0.13461538461538458,-0.13461538461538458,-0.3023255813953488,-0.20353982300884954,0.05882352941176472
69,2014-03-07,73.0,5,1,ボローニャ風カツ,396.0,1,1,0.0,1,-1.0,7.0,True,0,1,201403,98.2,-0.051948051948051965,-0.3363636363636363,-0.27,-0.4427480916030534,0.05797101449275366
67,2014-03-05,110.0,3,1,メンチカツ,393.0,1,1,0.0,5,1.5,6.1,True,0,0,201403,100.0,0.10000000000000009,-0.16030534351145043,0.5942028985507246,0.22222222222222232,0.05769230769230771
30,2014-01-09,129.0,4,1,鶏チリソース,435.0,1,1,0.0,2,-1.0,10.9,True,0,0,201401,117.8,0.0078125,-0.01526717557251911,0.6125,0.06611570247933884,0.05737704918032782
49,2014-02-06,111.0,4,1,手作りロースカツ,435.0,1,1,0.0,2,-1.0,4.2,True,0,0,201402,117.8,-0.11904761904761907,-0.0826446280991735,-0.20143884892086328,0.2065217391304348,0.05714285714285716
11,2013-12-03,153.0,2,1,厚揚げ豚生姜炒め,,1,1,0.0,1,-1.0,13.9,True,0,0,201312,142.2,0.013245033112582849,0.3189655172413792,0.013245033112582849,0.09285714285714275,0.05517241379310356
202,2014-09-24,59.0,3,1,白身魚のマスタード焼き,408.0,1,1,0.0,2,0.0,24.8,True,1,0,201409,45.6,1.0344827586206895,0.3111111111111111,0.28260869565217384,0.20408163265306123,0.0535714285714286
61,2014-02-25,104.0,2,0,マーボ豆腐,396.0,1,1,0.0,1,-1.0,10.5,True,0,0,201402,108.8,-0.1937984496124031,-0.07964601769911506,0.22352941176470598,-0.07964601769911506,0.05050505050505061
173,2014-08-07,63.0,4,0,チキン香草焼きマスタードソース,415.0,1,1,0.0,3,-1.0,32.1,True,0,0,201408,57.6,0.0862068965517242,0.16666666666666674,-0.16000000000000003,0.6578947368421053,0.050000000000000044
75,2014-03-17,129.0,1,0,鶏の唐揚げおろしソース,382.0,1,1,0.0,1,-1.0,14.0,True,1,0,201403,87.2,0.8428571428571427,0.6125,0.8970588235294117,0.449438202247191,0.04878048780487809
192,2014-09-08,68.0,1,1,鶏肉の山賊焼き,385.0,1,1,0.0,2,-1.0,23.1,True,1,0,201409,57.2,0.5813953488372092,0.2592592592592593,0.28301886792452824,0.0,0.04615384615384621
48,2014-02-05,126.0,3,1,鶏のピリ辛焼き,420.0,1,1,0.0,1,-1.0,3.0,True,0,0,201402,116.6,0.04132231404958686,-0.09352517985611508,0.36956521739130443,0.19999999999999996,0.04132231404958686
17,2013-12-11,157.0,3,0,五目御飯,,1,1,0.0,2,-1.0,11.0,True,0,0,201312,156.4,0.012903225806451646,-0.048484848484848464,0.17164179104477606,-0.08187134502923976,0.039735099337748325
73,2014-03-13,80.0,4,1,手作りロースカツ,372.0,1,1,0.0,5,0.5,15.2,True,0,0,201403,86.6,0.17647058823529416,-0.101123595505618,-0.34959349593495936,0.09589041095890405,0.03896103896103886
171,2014-08-05,54.0,2,1,鶏肉のカレー唐揚,400.0,1,1,0.0,1,-1.0,34.3,True,0,0,201408,57.0,-0.28,0.42105263157894735,-0.09999999999999998,-0.06896551724137934,0.03846153846153855
185,2014-08-28,56.0,4,0,豚肉の胡麻シャブ,396.0,1,1,0.0,5,0.0,21.6,True,0,0,201408,68.2,-0.09677419354838712,-0.17647058823529416,0.018181818181818077,-0.43999999999999995,0.03703703703703698
152,2014-07-08,56.0,2,0,かじきの甘辛煮,370.0,1,1,0.0,3,-1.0,29.7,True,0,0,201407,60.8,-0.31707317073170727,-0.11111111111111116,0.05660377358490565,0.1200000000000001,0.03703703703703698
167,2014-07-30,58.0,3,0,メンチカツ,441.0,1,1,0.0,3,-1.0,30.6,True,0,0,201407,64.0,0.11538461538461542,-0.10769230769230764,-0.3012048192771084,-0.06451612903225812,0.03571428571428581
136,2014-06-16,76.0,1,1,牛すき焼き風,440.0,1,1,0.0,4,-1.0,28.1,True,1,0,201406,75.0,-0.371900826446281,0.05555555555555558,0.52,0.3571428571428572,0.027027027027026973
33,2014-01-15,134.0,3,0,さんま辛味焼,450.0,1,1,0.0,2,-1.0,2.9,True,0,0,201401,121.4,0.03875968992248069,0.5402298850574712,0.03875968992248069,0.046875,0.022900763358778553
203,2014-09-25,50.0,4,0,牛カルビ焼き肉,394.0,1,1,0.0,2,0.0,25.4,True,0,0,201409,45.8,-0.15254237288135597,0.7241379310344827,0.11111111111111116,0.08695652173913038,0.020408163265306145
194,2014-09-10,54.0,3,0,ぶりレモンペッパー焼き,450.0,1,1,1.0,2,0.0,25.0,True,0,0,201409,56.4,-0.1428571428571429,-0.20588235294117652,0.2558139534883721,0.0,0.018867924528301883
57,2014-02-19,113.0,3,0,ハンバーグ和風きのこソース,405.0,1,1,0.0,4,-1.0,7.3,True,0,0,201402,103.8,0.14141414141414144,-0.17518248175182483,0.3139534883720929,0.34523809523809534,0.018018018018018056
106,2014-05-01,64.0,4,0,マーボ茄子,415.0,1,1,0.0,3,-1.0,24.0,True,0,0,201405,70.2,-0.3402061855670103,0.18518518518518512,-0.19999999999999996,0.1428571428571428,0.015873015873015817
65,2014-03-03,131.0,1,0,ハンバーグカレーソース,407.0,1,1,0.0,2,-1.0,7.8,True,1,0,201403,99.6,0.8985507246376812,0.4555555555555555,0.2596153846153846,0.2596153846153846,0.015503875968992276
117,2014-05-20,71.0,2,0,鶏の味噌漬け焼き,425.0,1,1,0.0,4,-1.0,23.9,True,0,0,201405,77.8,0.014285714285714235,-0.4365079365079365,0.22413793103448265,0.109375,0.014285714285714235
16,2013-12-10,155.0,2,0,やわらかロースのサムジョン,,1,1,1.0,2,0.5,7.1,True,0,0,201312,155.2,-0.06060606060606055,0.15671641791044766,-0.0935672514619883,0.026490066225165476,0.013071895424836555
58,2014-02-20,85.0,4,1,タンドリーチキン,426.0,1,1,0.0,4,-1.0,5.4,True,0,0,201402,104.0,-0.24778761061946908,-0.14141414141414144,-0.3795620437956204,-0.011627906976744207,0.011904761904761862
76,2014-03-18,90.0,2,1,チーズ入りハンバーグ,400.0,1,1,0.0,3,-1.0,18.9,True,0,0,201403,87.4,-0.3023255813953488,0.2857142857142858,0.125,0.32352941176470584,0.011235955056179803
47,2014-02-04,121.0,2,1,さわら焼味噌掛け,430.0,1,1,0.0,5,0.0,3.8,True,0,0,201402,115.6,-0.1294964028776978,0.3152173913043479,0.15238095238095228,0.0,0.008333333333333304
37,2014-01-21,129.0,2,1,サバ焼味噌掛け,447.0,1,1,0.0,1,-1.0,10.4,True,0,0,201401,116.2,0.023809523809523725,0.5176470588235293,0.20560747663551404,-0.03731343283582089,0.0
39,2014-01-23,107.0,4,0,酢豚,400.0,1,1,0.0,1,-1.0,8.5,True,0,0,201401,114.6,-0.1507936507936508,-0.1705426356589147,-0.1507936507936508,0.2588235294117647,0.0
131,2014-06-09,74.0,1,1,牛肉ニンニクの芽炒め,417.0,1,1,0.0,5,0.0,25.0,True,1,0,201406,67.4,-0.20430107526881724,0.15625,0.574468085106383,0.2542372881355932,0.0
129,2014-06-05,64.0,4,1,鶏の味噌漬け焼き,405.0,1,1,0.0,5,0.0,21.5,True,0,0,201406,72.6,0.36170212765957444,0.0847457627118644,-0.1351351351351351,-0.46218487394957986,0.0
45,2014-01-31,92.0,5,1,メダイ照り焼,460.0,1,1,0.0,1,-1.0,14.1,True,0,1,201401,112.8,-0.12380952380952381,-0.23966942148760328,-0.23333333333333328,-0.2698412698412699,0.0
41,2014-01-27,126.0,1,1,チンジャオロース,415.0,1,1,0.0,1,-1.0,5.1,True,1,0,201401,116.0,0.36956521739130443,0.17757009345794383,0.0,-0.023255813953488413,0.0
