,datetime,y,week,soldout,name,kcal,remarks,event,payday,weather,precipitation,temperature,train_flg,after_holiday,before_holiday,YM,y_rolling_mean5,y_pct_change_1,y_pct_change_2,y_pct_change_3,y_pct_change_4,y_pct_change_5,W
4,2013-11-22,130.0,5,1,ビッグメンチカツ,,1,1,0.0,1,-1.0,16.1,True,0,1,201311,111.8,0.08333333333333326,0.10169491525423724,0.28712871287128716,0.4444444444444444,,46
8,2013-11-28,151.0,4,0,ハンバーグ,,1,1,0.0,4,-1.0,17.7,True,0,0,201311,140.2,0.07857142857142851,0.04137931034482767,0.11851851851851847,0.16153846153846163,0.2583333333333333,47
13,2013-12-05,171.0,4,0,鶏のカッシュナッツ炒め,,1,1,0.0,1,-1.0,13.8,True,0,0,201312,148.4,0.13245033112582782,0.11764705882352944,0.13245033112582782,0.47413793103448265,0.13245033112582782,48
15,2013-12-09,165.0,1,1,ハンバーグデミソース,,1,1,0.0,2,-1.0,9.1,True,1,0,201312,154.8,0.23134328358208944,-0.03508771929824561,0.0927152317880795,0.07843137254901955,0.0927152317880795,49
20,2013-12-16,160.0,1,0,カキフライタルタル,,1,1,0.0,1,-1.0,11.3,True,1,0,201312,138.4,0.4414414414414414,0.4678899082568808,0.019108280254777066,0.032258064516129004,-0.030303030303030276,50
25,2013-12-24,122.0,2,0,さっくりメンチカツ,,1,1,0.0,1,-1.0,11.5,True,1,0,201312,139.4,-0.08955223880597019,-0.1920529801324503,-0.1586206896551724,-0.1586206896551724,-0.23750000000000004,51
28,2014-01-07,131.0,2,0,カレー入りソーセージカツ,404.0,1,1,0.0,1,-1.0,7.3,True,1,0,201401,117.6,0.6375,0.0826446280991735,0.07377049180327866,-0.02238805970149249,-0.13245033112582782,01
33,2014-01-15,134.0,3,0,さんま辛味焼,450.0,1,1,0.0,2,-1.0,2.9,True,0,0,201401,121.4,0.03875968992248069,0.5402298850574712,0.03875968992248069,0.046875,0.022900763358778553,02
37,2014-01-21,129.0,2,1,サバ焼味噌掛け,447.0,1,1,0.0,1,-1.0,10.4,True,0,0,201401,116.2,0.023809523809523725,0.5176470588235293,0.20560747663551404,-0.03731343283582089,0.0,03
41,2014-01-27,126.0,1,1,チンジャオロース,415.0,1,1,0.0,1,-1.0,5.1,True,1,0,201401,116.0,0.36956521739130443,0.17757009345794383,0.0,-0.023255813953488413,0.0,04
46,2014-02-03,139.0,1,1,ハンバーグカレーソース,445.0,1,1,0.0,3,-1.0,15.9,True,1,0,201402,115.4,0.5108695652173914,0.32380952380952377,0.14876033057851235,0.15833333333333344,0.10317460317460325,05
51,2014-02-10,137.0,1,0,鶏の唐揚げおろしソース,423.0,1,1,1.0,2,-1.0,7.8,True,1,1,201402,117.2,0.5054945054945055,0.23423423423423428,0.08730158730158721,0.1322314049586777,-0.014388489208633115,06
55,2014-02-17,137.0,1,1,チンジャオロース,416.0,1,1,0.0,3,-1.0,11.6,True,1,0,201402,111.0,0.5930232558139534,0.6309523809523809,0.23423423423423428,0.0,0.5054945054945055,07
60,2014-02-24,129.0,1,1,ポークハヤシ,408.0,1,1,0.0,2,-1.0,6.6,True,1,0,201402,107.8,0.1415929203539823,0.5176470588235293,0.1415929203539823,0.303030303030303,-0.058394160583941646,08
65,2014-03-03,131.0,1,0,ハンバーグカレーソース,407.0,1,1,0.0,2,-1.0,7.8,True,1,0,201403,99.6,0.8985507246376812,0.4555555555555555,0.2596153846153846,0.2596153846153846,0.015503875968992276,09
70,2014-03-10,123.0,1,0,海老クリーミ―クノーデル,385.0,1,1,1.0,2,-1.0,7.6,True,1,0,201403,96.6,0.6849315068493151,0.5974025974025974,0.11818181818181817,0.22999999999999998,-0.06106870229007633,10
75,2014-03-17,129.0,1,0,鶏の唐揚げおろしソース,382.0,1,1,0.0,1,-1.0,14.0,True,1,0,201403,87.2,0.8428571428571427,0.6125,0.8970588235294117,0.449438202247191,0.04878048780487809,11
83,2014-03-28,106.0,5,0,キーマカレー,,4,1,0.0,1,-1.0,18.5,True,0,1,201403,78.2,0.9272727272727272,1.0784313725490198,0.37662337662337664,0.03921568627450989,0.06000000000000005,12
85,2014-04-01,125.0,2,1,メンチカツ,377.0,1,1,0.0,4,-1.0,16.1,True,0,0,201404,84.2,0.48809523809523814,0.179245283018868,1.272727272727273,1.450980392156863,0.6233766233766234,13
93,2014-04-11,128.0,5,1,チキンカレー,,4,1,0.0,1,-1.0,16.5,True,0,1,201404,101.2,0.47126436781609193,0.4545454545454546,0.33333333333333326,0.19626168224299056,0.4222222222222223,14
94,2014-04-14,92.0,1,0,ビーフトマト煮,340.0,1,1,0.0,3,-1.0,16.4,True,1,0,201404,98.2,-0.28125,0.05747126436781613,0.045454545454545414,-0.04166666666666663,-0.14018691588785048,15
99,2014-04-21,109.0,1,0,牛肉筍煮,375.0,1,3,0.0,2,-1.0,16.4,True,1,0,201404,72.2,0.9464285714285714,0.9122807017543859,0.9122807017543859,0.3292682926829269,0.1847826086956521,16
105,2014-04-30,97.0,3,1,豚味噌メンチカツ,368.0,1,1,0.0,5,0.5,17.5,True,1,0,201404,70.0,0.7962962962962963,0.2124999999999999,0.7321428571428572,0.5396825396825398,0.2435897435897436,17
108,2014-05-07,88.0,3,1,肉じゃが,415.0,1,1,0.0,3,-1.0,18.9,True,1,0,201405,70.0,0.8723404255319149,0.375,-0.09278350515463918,0.6296296296296295,0.10000000000000009,18
115,2014-05-16,126.0,5,0,ポークカレー,,4,2,0.0,1,-1.0,23.8,True,0,1,201405,78.2,1.1724137931034484,0.96875,0.8,0.726027397260274,1.1724137931034484,19
118,2014-05-21,104.0,3,1,チーズハンバーグ,430.0,1,1,0.0,5,6.0,17.4,True,0,0,201405,85.8,0.46478873239436624,0.48571428571428577,-0.17460317460317465,0.7931034482758621,0.625,20
125,2014-05-30,119.0,5,0,チキンカレー,,4,1,0.0,4,-1.0,26.9,True,0,1,201405,82.6,0.859375,0.6081081081081081,0.5063291139240507,0.5454545454545454,0.8307692307692307,21
130,2014-06-06,93.0,5,0,手作りロースカツ,430.0,1,1,0.0,5,6.5,19.9,True,0,1,201406,67.4,0.453125,0.9787234042553192,0.576271186440678,0.2567567567567568,-0.2184873949579832,22
135,2014-06-13,121.0,5,0,キーマカレー,,4,1,0.0,3,-1.0,29.5,True,0,1,201406,74.6,0.6805555555555556,1.42,1.1607142857142856,0.6351351351351351,0.30107526881720426,23
136,2014-06-16,76.0,1,1,牛すき焼き風,440.0,1,1,0.0,4,-1.0,28.1,True,1,0,201406,75.0,-0.371900826446281,0.05555555555555558,0.52,0.3571428571428572,0.027027027027026973,24
145,2014-06-27,74.0,5,0,牛丼,,4,1,0.0,5,0.0,25.4,True,0,1,201406,64.0,0.510204081632653,0.15625,0.21311475409836067,0.02777777777777768,0.29824561403508776,25
146,2014-06-30,65.0,1,0,鶏の塩から揚げ,435.0,1,1,0.0,4,-1.0,25.5,True,1,0,201406,62.6,-0.1216216216216216,0.3265306122448979,0.015625,0.06557377049180335,-0.09722222222222221,26
155,2014-07-11,124.0,5,0,ポークカレー,,4,1,0.0,3,-1.0,33.9,True,0,1,201407,72.8,1.5833333333333335,1.2962962962962963,1.2142857142857144,0.5121951219512195,0.9682539682539681,27
156,2014-07-14,65.0,1,1,鶏のから揚げねぎ塩炒めソース,418.0,1,1,0.0,4,0.0,30.9,True,1,0,201407,69.4,-0.47580645161290325,0.35416666666666674,0.20370370370370372,0.1607142857142858,-0.20731707317073167,28
164,2014-07-25,83.0,5,0,ひやしたぬきうどん・炊き込みご飯,,4,1,0.0,3,-1.0,33.6,True,0,1,201407,61.8,0.33870967741935476,0.4821428571428572,0.5660377358490567,0.509090909090909,0.5660377358490567,29
165,2014-07-28,65.0,1,1,豚肉のマスタード焼き,432.0,1,1,0.0,3,-1.0,28.9,True,1,0,201407,63.8,-0.2168674698795181,0.048387096774193505,0.1607142857142858,0.2264150943396226,0.18181818181818188,30
174,2014-08-08,129.0,5,0,チキンカレー,,4,1,1.0,2,-1.0,31.1,True,0,1,201408,75.8,1.0476190476190474,1.2241379310344827,1.3888888888888888,0.72,2.3947368421052633,31
175,2014-08-11,45.0,1,0,サーモンフライ・タルタル,411.0,1,1,0.0,3,-1.0,32.4,True,1,0,201408,69.8,-0.6511627906976745,-0.2857142857142857,-0.22413793103448276,-0.16666666666666663,-0.4,32
181,2014-08-22,100.0,5,1,ロコモコ丼,,4,1,0.0,3,-1.0,33.1,True,0,1,201408,63.8,0.8518518518518519,0.7857142857142858,0.8867924528301887,0.7857142857142858,1.5,33
183,2014-08-26,68.0,2,0,キーマカレー,400.0,1,1,0.0,5,0.0,26.2,True,0,0,201408,66.6,0.23636363636363633,-0.31999999999999995,0.2592592592592593,0.2142857142857142,0.28301886792452824,34
188,2014-09-02,68.0,2,1,名古屋味噌カツ,440.0,6,1,0.0,3,-1.0,29.1,True,0,0,201409,58.0,0.04615384615384621,0.7435897435897436,0.2142857142857142,0.09677419354838701,0.0,35
196,2014-09-12,115.0,5,0,ポークカレー,,4,1,0.0,3,-1.0,27.3,True,0,1,201409,70.6,1.1698113207547172,1.1296296296296298,0.8253968253968254,0.6911764705882353,1.6744186046511627,36
197,2014-09-16,56.0,2,0,チーズメンチカツ,438.0,1,1,0.0,3,-1.0,28.8,True,1,0,201409,68.2,-0.5130434782608695,0.05660377358490565,0.03703703703703698,-0.11111111111111116,-0.17647058823529416,37
202,2014-09-24,59.0,3,1,白身魚のマスタード焼き,408.0,1,1,0.0,2,0.0,24.8,True,1,0,201409,45.6,1.0344827586206895,0.3111111111111111,0.28260869565217384,0.20408163265306123,0.0535714285714286,38
205,2014-09-29,56.0,1,1,豚肉と玉子の炒め,404.0,1,1,0.0,1,-1.0,26.6,True,1,0,201409,47.8,0.24444444444444446,0.1200000000000001,-0.05084745762711862,0.9310344827586208,0.24444444444444446,39
